Tanggal;Kurs_Penutupan_USD_IDR;Log_Return
11/9/2022 23:58:00;15671,5;0,001692399
11/10/2022 23:58:00;15500;-0,011003752
11/11/2022 23:58:00;15473,8;-0,001691753
11/14/2022 23:58:00;15530,1;0,003631805
11/15/2022 23:58:00;15557;0,001730622
11/16/2022 23:58:00;15655;0,006279657
11/17/2022 23:58:00;15720;0,004143432
11/18/2022 23:58:00;15629,3;-0,005786429
11/21/2022 23:58:00;15755;0,008010417
11/22/2022 23:58:00;15671;-0,005345905
11/23/2022 23:58:00;15619,6;-0,003285335
11/24/2022 23:58:00;15605;-0,00093516
11/25/2022 23:58:00;15675,2;0,00448847
11/28/2022 23:58:00;15746;0,004506519
11/29/2022 23:58:00;15726,5;-0,001239177
11/30/2022 23:58:00;15634,5;-0,005867177
12/1/2022 23:58:00;15355,5;-0,018006295
12/2/2022 23:58:00;15361,7;0,000403683
12/5/2022 23:58:00;15520,3;0,010271446
12/6/2022 23:58:00;15623;0,006595343
12/7/2022 23:58:00;15596;-0,001729716
12/8/2022 23:58:00;15590;-0,000384788
12/9/2022 23:58:00;15582,5;-0,000481193
12/12/2022 23:58:00;15676,3;0,006001528
12/13/2022 23:58:00;15554,7;-0,007787174
12/14/2022 23:58:00;15481;-0,004749378
12/15/2022 23:58:00;15626;0,009322728
12/16/2022 23:58:00;15616;-0,000640164
12/19/2022 23:58:00;15567,5;-0,003110622
12/20/2022 23:58:00;15556;-0,000738991
12/21/2022 23:58:00;15513;-0,002768034
12/22/2022 23:58:00;15563;0,00321792
12/23/2022 23:58:00;15565,5;0,000160625
12/26/2022 23:58:00;15607;0,002662605
12/27/2022 23:58:00;15617,5;0,000672549
12/28/2022 23:58:00;15789;0,010921415
12/29/2022 23:58:00;15620;-0,010761351
12/30/2022 23:58:00;15502,2;-0,007570195
1/2/2023 23:58:00;15550;0,003078689
1/3/2023 23:58:00;15571,8;0,001400947
1/4/2023 23:58:00;15560;-0,000758067
1/5/2023 23:58:00;15620;0,003848626
1/6/2023 23:58:00;15602,2;-0,001140214
1/9/2023 23:58:00;15580;-0,00142389
1/10/2023 23:58:00;15528,9;-0,003285236
1/11/2023 23:58:00;15414;-0,007426617
1/12/2023 23:58:00;15172;-0,015824564
1/13/2023 23:58:00;15114,7;-0,003783844
1/16/2023 23:58:00;15082;-0,0021658
1/17/2023 23:58:00;15162;0,005290318
1/18/2023 23:58:00;15096;-0,00436249
1/19/2023 23:58:00;15141;0,002976488
1/20/2023 23:58:00;15055,8;-0,005642997
1/23/2023 23:58:00;15007;-0,00324654
1/24/2023 23:58:00;14955,5;-0,003437634
1/25/2023 23:58:00;14938,7;-0,001123964
1/26/2023 23:58:00;14942,5;0,000254341
1/27/2023 23:58:00;14970,3;0,001858737
1/30/2023 23:58:00;14995;0,001648574
1/31/2023 23:58:00;14990,7;-0,000286803
2/1/2023 23:58:00;14855;-0,0090935
2/2/2023 23:58:00;14881;0,001748723
2/3/2023 23:58:00;15077,7;0,0131316
2/6/2023 23:58:00;15200;0,008078597
2/7/2023 23:58:00;15147;-0,003492935
2/8/2023 23:58:00;15117;-0,001982554
2/9/2023 23:58:00;15140;0,00152031
2/10/2023 23:58:00;15183,3;0,002855892
2/13/2023 23:58:00;15211;0,001822711
2/14/2023 23:58:00;15179;-0,002105957
2/15/2023 23:58:00;15210;0,002040213
2/16/2023 23:58:00;15142;-0,004480767
2/17/2023 23:58:00;15159;0,001122075
2/20/2023 23:58:00;15162,5;0,000230859
2/21/2023 23:58:00;15233;0,004638853
2/22/2023 23:58:00;15192;-0,002695154
2/23/2023 23:58:00;15210;0,001184133
2/24/2023 23:58:00;15256,6;0,00305909
2/27/2023 23:58:00;15209;-0,003124838
2/28/2023 23:58:00;15240;0,002036192
3/1/2023 23:58:00;15243;0,000196831
3/2/2023 23:58:00;15322;0,005169323
3/3/2023 23:58:00;15253;-0,004513499
3/6/2023 23:58:00;15352;0,006469554
3/7/2023 23:58:00;15437;0,005521466
3/8/2023 23:58:00;15450;0,000841778
3/9/2023 23:58:00;15489;0,002521091
3/10/2023 23:58:00;15471,5;-0,001130473
3/13/2023 23:58:00;15409;-0,004047867
3/14/2023 23:58:00;15372;-0,002404082
3/15/2023 23:58:00;15479;0,006936594
3/16/2023 23:58:00;15422;-0,003689205
3/17/2023 23:58:00;15368;-0,003507636
3/20/2023 23:58:00;15340;-0,00182363
3/21/2023 23:58:00;15294;-0,003003201
3/22/2023 23:58:00;15251;-0,00281552
3/23/2023 23:58:00;15047;-0,013466439
3/24/2023 23:58:00;15166;0,007877445
3/27/2023 23:58:00;15107,5;-0,003864771
3/28/2023 23:58:00;15061;-0,003082688
3/29/2023 23:58:00;15031,5;-0,001960622
3/30/2023 23:58:00;15020;-0,000765353
3/31/2023 23:58:00;14968,6;-0,003427973
4/3/2023 23:58:00;14915;-0,003587256
4/4/2023 23:58:00;14958;0,002878856
4/5/2023 23:58:00;14956;-0,000133717
4/6/2023 23:58:00;14932;-0,001605996
4/7/2023 23:58:00;14933,9;0,000127235
4/10/2023 23:58:00;14955;0,001411896
4/11/2023 23:58:00;14913;-0,002812376
4/12/2023 23:58:00;14823,5;-0,006019556
4/13/2023 23:58:00;14720;-0,007006646
4/14/2023 23:58:00;14782,5;0,004236935
4/17/2023 23:58:00;14860;0,005228991
4/18/2023 23:58:00;14890;0,002016807
4/19/2023 23:58:00;15006;0,007760274
4/20/2023 23:58:00;14946;-0,004006416
4/21/2023 23:58:00;14929;-0,001138075
4/24/2023 23:58:00;14945;0,001071166
4/25/2023 23:58:00;14935;-0,000669344
4/26/2023 23:58:00;14841,5;-0,006280141
4/27/2023 23:58:00;14684;-0,010668845
4/28/2023 23:58:00;14666,1;-0,001219757
5/1/2023 23:58:00;14671,5;0,000368128
5/2/2023 23:58:00;14752,5;0,005505724
5/3/2023 23:58:00;14680,5;-0,004892477
5/4/2023 23:58:00;14700;0,001327411
5/5/2023 23:58:00;14668,1;-0,002172426
5/8/2023 23:58:00;14750;0,005568015
5/9/2023 23:58:00;14767;0,001151879
5/10/2023 23:58:00;14691;-0,0051599
5/11/2023 23:58:00;14770,5;0,005396887
5/12/2023 23:58:00;14843,4;0,004923374
5/15/2023 23:58:00;14795;-0,003266036
5/16/2023 23:58:00;14885;0,006064709
5/17/2023 23:58:00;14876,5;-0,000571208
5/18/2023 23:58:00;14916;0,002651676
5/19/2023 23:58:00;14929;0,000871168
5/22/2023 23:58:00;14886;-0,002884456
5/23/2023 23:58:00;14895;0,000604412
5/24/2023 23:58:00;14945,9;0,003411429
5/25/2023 23:58:00;14970;0,001611184
5/26/2023 23:58:00;15007,5;0,002501878
5/29/2023 23:58:00;14960;-0,003170104
5/30/2023 23:58:00;14979;0,001269248
5/31/2023 23:58:00;14984;0,000333745
6/1/2023 23:58:00;14907;-0,005152064
6/2/2023 23:58:00;14874,5;-0,002182564
6/5/2023 23:58:00;14849,5;-0,001682143
